-1,7,36,4 728
1,14,58,4 730
1,3,67,4 731
1,11,60,4 731
-1,10,44,4 729
-1,12,66,4 731
1,9,14,4 725
1,12,54,4 730
1,4,59,4 731
1,9,32,4 727
1,9,48,4 729
-1,8,25,4 727
1,5,29,4 726
1,2,36,4 728
1,4,22,4 726
-1,6,25,4 727
-1,7,32,4 727
1,3,63,4 730
-1,7,54,4 730
-1,10,72,4 724
1,8,59,4 731
1,5,19,4 726
1,9,36,4 728
-1,6,13,4 725
1,6,56,4 730
1,5,15,4 725
-1,15,27,4 727,726
1,4,34,4 727,727
1,11,35,4 728
1,3,17,4 726
1,2,14,4 725
1,14,2,4 724
-1,10,40,4 728
-1,14,18,4 726
1,9,28,4 727
-1,3,58,4 730
-1,15,23,4 727,727
1,4,38,4 728,728
-1,6,15,4 725
1,9,24,4 726
-1,10,18,4 726
1,2,3,4 724
1,10,20,4 726
1,2,22,4 726
-1,6,19,4 726
1,9,46,4 728
-1,7,30,4 727
1,14,15,4 725
-1,10,48,4 729
1,2,7,4 724
1,9,27,4 726
1,5,23,4 726
1,2,26,4 726
1,13,15,4 725
-1,10,56,4 730
-1,9,19,4 726
1,2,70,4 731
1,3,8,4 724
1,3,65,4 731
1,5,3,4 724
1,9,16,4 725
-1,15,43,4 729,728
-1,10,3,4 724
-1,8,59,4 730
1,15,47,4 729,727
-1,6,27,4 727
1,4,7,4 725
1,1,39,4 728
1,15,44,4 728,727
1,14,60,4 731
-1,12,9,4 724
1,6,1,4 724
-1,2,35,4 728
-1,15,37,4 728,728
-1,5,27,4 727
-1,1,59,4 731
1,2,5,4 724
1,15,53,4 730,727
-1,8,33,4 727
1,9,59,4 731
1,3,4,4 724
-1,10,42,4 729
1,9,12,4 725
1,5,7,4 725
-1,1,45,4 728
1,7,66,4 731
-1,15,47,4 729,729
1,15,57,4 730,727
-1,5,33,4 727
-1,9,31,4 727
1,2,40,4 728
-1,1,49,4 729
1,11,69,4 731
1,2,18,4 726
-1,8,27,4 727
-1,14,14,4 725
1,8,54,4 730
1,9,8,4 725
-1,8,69,4 731
-1,5,23,4 727
1,15,48,4 729,727
-1,1,27,4 726
-1,9,25,4 727
-1,8,37,4 728
1,8,50,4 729
-1,14,7,4 724
-1,11,7,4 724
-1,8,53,4 730
1,13,21,4 726
1,12,33,4 727
-1,14,36,4 728
1,7,12,4 725
-1,11,57,4 730
-1,9,35,4 728
-1,4,64,4 731,730
-1,1,55,4 730
1,15,66,4 731,727
1,8,22,4 726
1,13,19,4 726
-1,3,20,4 726
1,12,68,4 731
-1,8,45,4 729
1,11,25,4 726
-1,11,43,4 729
-1,1,61,4 731
1,11,17,4 726
-1,2,11,4 725
-1,4,2,4 724
-1,8,41,4 729
-1,3,26,4 726
1,8,32,4 727
-1,4,59,4 731
-1,11,53,4 730
-1,1,43,4 728
-1,4,70,4 731
-1,1,71,4 724
1,3,30,4 727
1,11,51,4 729
-1,4,55,4 730
-1,9,11,4 725
1,15,65,4 731,727
1,14,51,4 729
-1,14,12,4 725
1,13,10,4 725
1,7,18,4 726
-1,12,45,4 729
-1,3,30,4 727
-1,4,49,4 729,729
-1,4,51,4 729,729
-1,9,15,4 725
-1,4,62,4 731,730
1,11,45,4 728
-1,13,11,4 725
1,6,70,4 731
1,11,13,4 725
-1,10,24,4 727
1,15,1,4 724,729
-1,13,48,4 729
-1,8,65,4 731
1,7,10,4 725
-1,4,14,4 725,725
-1,9,29,4 727
1,11,55,4 730
-1,4,41,4 729,729
-1,13,44,4 729
1,8,43,4 728
-1,13,19,4 726
-1,12,41,4 729
1,8,16,4 725
1,14,3,4 724
1,10,6,4 725
-1,8,47,4 729
-1,9,39,4 728
1,2,48,4 729
1,11,61,4 731
-1,12,67,4 731
-1,4,53,4 730
-1,13,72,4 724
1,13,12,4 725
1,4,58,4 730,730
1,12,55,4 730
-1,2,53,4 730
1,7,14,4 725
1,3,22,4 726
1,8,34,4 727
-1,13,39,4 728
-1,3,12,4 725
-1,2,20,4 726
-1,5,11,4 725
-1,9,13,4 725
1,11,71,4 724
1,7,32,4 727
-1,13,35,4 728
1,13,45,4 728
-1,15,26,4 727,726
1,4,48,4 729
1,4,72,4 724
1,5,37,4 728
-1,6,9,4 724
-1,3,64,4 731
-1,13,29,4 727
-1,4,18,4 726
-1,13,17,4 726
-1,15,22,4 726,726
1,5,61,4 731
-1,3,68,4 731
-1,13,25,4 727
-1,12,59,4 730
1,12,71,4 724
-1,8,1,4 724
1,4,40,4 728,728
1,2,23,4 726
-1,5,29,4 727
1,11,49,4 729
1,11,1,4 724
-1,15,53,4 730,730
-1,13,21,4 726
-1,14,70,4 731
1,5,55,4 730
1,12,53,4 730
1,5,22,4 726
-1,15,10,4 724,724
1,2,27,4 726
1,4,52,4 729
-1,5,39,4 728
1,3,38,4 728
1,11,59,4 731
1,12,5,4 725
1,3,64,4 730
-1,12,61,4 730
1,11,67,4 731
1,9,17,4 726
1,5,45,4 728
-1,14,60,4 730
1,5,72,4 724
1,15,13,4 725,729
1,5,10,4 725
1,11,15,4 725
-1,8,5,4 724
1,1,67,4 731
-1,6,26,4 727
-1,7,12,4 725
-1,5,25,4 727
1,15,4,4 724,729
1,15,34,4 727,729
1,14,47,4 729
-1,4,5,4 725
-1,12,71,4 724
-1,7,6,4 724
-1,15,3,4 724,724
-1,7,17,4 726
1,12,1,4 724
1,11,7,4 725
-1,10,43,4 729
1,10,13,4 725
1,9,13,4 725
-1,2,27,4 726
-1,11,19,4 726
1,2,41,4 728
-1,9,30,4 727
1,6,28,4 727
1,12,9,4 725
-1,11,15,4 725
-1,8,68,4 731
1,9,65,4 731
1,15,20,4 726,729
1,5,49,4 729
1,15,38,4 728,727
1,8,64,4 731
-1,1,58,4 730
-1,9,42,4 729
1,2,51,4 729
-1,5,43,4 729
1,5,69,4 731
-1,6,12,4 725
1,15,28,4 726,729
-1,15,9,4 724,724
-1,8,7,4 724
1,6,36,4 728
1,7,44,4 728
1,13,46,4 728
1,10,65,4 731
1,13,30,4 727
-1,10,25,4 727
1,5,59,4 731
-1,7,4,4 724
1,6,40,4 728
1,6,22,4 726
1,13,52,4 729
1,12,3,4 724
-1,14,29,4 727
-1,11,38,4 728
-1,15,60,4 730,731
-1,15,18,4 726,726
1,3,1,4 724
-1,11,34,4 727
-1,1,70,4 731
-1,6,60,4 730
1,11,50,4 729
1,10,17,4 726
1,14,25,4 726
-1,12,13,4 725
-1,9,67,4 731
1,7,19,4 726
-1,11,30,4 727
-1,2,18,4 726
1,1,1,4 724
1,6,13,4 725
1,11,22,4 726
1,7,43,4 728
1,10,63,4 731
-1,8,64,4 730
1,7,11,4 725
-1,4,15,4 725
-1,1,64,4 731
1,11,54,4 730
1,11,38,4 728
-1,12,2,4 724
1,10,67,4 731
-1,15,48,4 729,729
1,14,37,4 728
1,2,65,4 731
-1,9,54,4 730
-1,8,46,4 729
1,2,49,4 729
-1,9,38,4 728
-1,4,27,4 727,727
-1,2,2,4 724
1,7,47,4 729
-1,7,67,4 731
-1,2,14,4 725
1,5,58,4 730
1,7,15,4 725
1,10,51,4 729
1,2,59,4 730
-1,9,12,4 725
1,7,33,4 727
-1,13,45,4 729
1,2,69,4 731
-1,9,58,4 730
-1,6,8,4 724
1,10,41,4 728
1,7,4,4 724
-1,3,65,4 731
-1,13,28,4 727
-1,4,19,4 726,726
-1,15,56,4 730,730
-1,13,41,4 729
1,15,5,4 725,729
-1,1,62,4 731
-1,3,7,4 725
-1,4,31,4 727
-1,9,20,4 726
-1,3,69,4 731
-1,13,24,4 727
1,7,27,4 726
-1,2,70,4 731
1,13,62,4 731
-1,8,62,4 730
1,14,11,4 725
1,10,49,4 729
1,9,55,4 730
-1,13,20,4 726
1,7,23,4 726
1,14,23,4 726
1,3,9,4 724
-1,9,62,4 730
-1,7,41,4 729
-1,2,26,4 726
1,9,5,4 725
-1,1,18,4 726
1,1,58,4 730
-1,5,38,4 728
1,10,3,4 724
-1,4,25,4 727,727
1,11,58,4 730
1,1,29,4 727
1,9,45,4 728
1,7,57,4 730
-1,13,65,4 731
-1,13,52,4 729
1,5,44,4 728
-1,13,30,4 727
-1,14,61,4 730
-1,7,51,4 729
1,2,44,4 728
1,1,66,4 731
1,15,59,4 731,727
-1,2,60,4 730
1,8,65,4 731
-1,9,48,4 729
1,11,72,4 724
-1,12,70,4 731
-1,3,41,4 728
-1,13,22,4 726
-1,14,53,4 730
1,12,16,4 725
-1,14,71,4 724
1,7,35,4 728
-1,14,69,4 731
-1,7,59,4 730
-1,1,14,4 725
1,1,11,4 725
-1,2,56,4 730
1,9,1,4 724
-1,4,21,4 726,726
1,2,43,4 728
-1,9,32,4 727
-1,3,63,4 731
-1,3,51,4 729
1,7,8,4 725
-1,14,27,4 727
1,11,40,4 728
1,7,25,4 726
-1,10,23,4 727
1,15,35,4 728,727
1,13,36,4 728
-1,6,4,4 724
1,1,23,4 727
1,1,54,4 730
-1,3,55,4 730
1,9,70,4 731
-1,13,58,4 730
-1,14,49,4 729
-1,1,40,4 728
-1,13,69,4 731
1,15,21,4 726,729
1,7,39,4 728
1,14,40,4 728
1,5,48,4 729
1,13,20,4 726
-1,14,45,4 729
1,8,35,4 728
1,1,46,4 729
1,7,45,4 728
-1,13,70,4 731
-1,14,59,4 730
1,13,66,4 731
1,15,31,4 727,729
1,15,29,4 727,729
-1,8,6,4 724
-1,15,8,4 724,724
1,13,58,4 730
1,1,60,4 730
-1,6,70,4 731
1,1,30,4 727
1,3,12,4 725
1,3,27,4 727
1,11,28,4 726
1,13,22,4 726
1,12,14,4 725
-1,14,51,4 729
1,15,42,4 728,727
-1,11,14,4 725
-1,8,10,4 724
1,6,41,4 728
1,15,39,4 728,727
1,6,23,4 726
1,1,34,4 727
1,8,41,4 728
1,12,2,4 724
-1,11,39,4 728
1,11,52,4 729
-1,11,10,4 724
-1,10,37,4 728
-1,11,60,4 730
-1,1,1,4 724
-1,11,35,4 728
1,15,68,4 731,727
1,12,66,4 731
-1,8,18,4 726
1,6,51,4 729
-1,6,2,4 724
1,6,37,4 728
-1,12,12,4 725
-1,11,29,4 727
-1,1,22,4 726
-1,11,31,4 727
1,12,10,4 725
-1,14,55,4 730
-1,7,1,4 724
1,15,27,4 726,729
1,2,9,4 724
1,15,15,4 725,729
1,6,65,4 731
1,6,12,4 725
-1,5,9,4 724
1,7,42,4 728
-1,14,33,4 727
-1,5,46,4 729
-1,12,20,4 726
-1,9,8,4 724
1,10,62,4 731
1,13,54,4 730
-1,11,21,4 726
-1,10,68,4 731
1,15,11,4 725,729
1,15,33,4 727,729
1,6,69,4 731
1,6,16,4 725
1,6,47,4 729
-1,12,3,4 724
-1,9,5,4 724
-1,15,57,4 730,730
-1,5,50,4 729
-1,12,32,4 727
1,15,3,4 724,729
-1,11,33,4 727
1,8,6,4 725
-1,5,5,4 724
-1,7,21,4 726
1,7,46,4 728
-1,12,14,4 725
-1,12,18,4 726
-1,9,63,4 730
1,14,56,4 730
1,3,69,4 731
1,13,44,4 728
-1,5,64,4 730
-1,13,4,4 724
1,10,36,4 728
1,6,53,4 730
1,6,14,4 725
1,3,45,4 729
-1,7,72,4 724
-1,12,48,4 729
-1,9,2,4 724
-1,5,60,4 730
1,14,64,4 731
1,10,40,4 728
-1,6,43,4 729
1,6,18,4 726
1,6,5,4 725
-1,15,33,4 727,727
1,8,63,4 731
-1,12,22,4 726
-1,2,71,4 724
1,13,6,4 725
-1,5,72,4 724
1,14,52,4 729
-1,6,37,4 728
1,10,32,4 727
1,10,48,4 729
1,6,57,4 730
-1,6,69,4 731
-1,10,66,4 731
-1,3,37,4 728
-1,12,5,4 724
1,3,57,4 730
1,9,4,4 724
-1,7,26,4 727
-1,4,24,4 727
1,9,44,4 728
-1,6,55,4 730
-1,13,64,4 730
1,4,63,4 731
-1,12,26,4 727
-1,7,50,4 729
-1,3,48,4 729
1,10,28,4 727
-1,15,65,4 731,731
-1,5,66,4 731
1,14,72,4 724
-1,2,47,4 729
-1,3,72,4 724
-1,6,45,4 729
-1,9,49,4 729
1,10,24,4 726
1,3,47,4 729
1,9,54,4 730
1,4,11,4 725
-1,10,16,4 725
1,4,26,4 727
1,2,10,4 724
-1,7,22,4 726
-1,7,58,4 730
1,14,7,4 725
-1,6,41,4 729
-1,2,57,4 730
-1,4,20,4 726
1,10,46,4 728
1,5,33,4 727
1,9,50,4 729
1,10,12,4 725
1,1,6,4 724
-1,6,71,4 724
1,9,20,4 726
-1,3,50,4 729
-1,6,18,4 726
1,7,24,4 726
1,6,9,4 725
1,4,30,4 727,727
-1,10,60,4 730
1,4,19,4 726,726
1,3,71,4 724
1,14,68,4 731
-1,9,69,4 731
1,1,22,4 726
-1,7,48,4 729
1,10,30,4 727
-1,2,43,4 728
1,9,69,4 731
1,9,71,4 724
-1,3,54,4 730
1,9,42,4 728
1,3,43,4 729
-1,13,59,4 730
1,5,52,4 729
-1,15,49,4 729,729
-1,13,68,4 731
-1,7,38,4 728
1,11,34,4 727
-1,10,36,4 728
